Brand,Paddle Name,Price,Discount Code,Link to Paddle,Year Released,Approval Body,Shape,Face Material,Grit Type,Build Style,Paddle Type,Core Thickness (mm),Grip Length (in),Grip Size (in),Weight (oz),Swingweight,Swingweight Percentile,Twistweight,Twistweight Percentile,Balance Point (mm),Spin Rating,Spin (RPM),Power (MPH),Power Percentile,Pop (MPH),Pop Percentile,Firepower Percentile,Firepower Z,Firepower Z Tier
CRBN,CRBN 3X Power Series (14 mm),$229.99,PBEFFECT,https://a8qh.short.gy/3x14,2023,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,Power,14,5.25,4.25,7.87,116,57%,6.39,52%,240,,,,,,,,,
CRBN,CRBN 3X Power Series (16 mm),$229.99,PBEFFECT,https://a8qh.short.gy/crbn3x16,2023,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.25,4.25,8.18,119,78%,6.79,79%,241,Medium,1920,54.9,23%,35.6,28%,25%,40,Firepower Control+
CRBN,TruFoam Genesis 1,$279.99,PBEFFECT,https://a8qh.short.gy/TFG1,2025,USAP/UPA-A,Elongated,Carbon,Raw Texture/Peel Ply,Gen 4,All-Court,14,5.5,4.125,7.9,118,70%,5.51,5%,244,Very High,2036,55.8,50%,36.6,74%,62%,59,Firepower Balanced
CRBN,TruFoam Genesis 2,$279.99,PBEFFECT,https://a8qh.short.gy/TFG2,2025,USAP/UPA-A,Widebody,Carbon,Raw Texture/Peel Ply,Gen 4,All-Court,14,5.25,4.125,8.2,113,35%,6.70,74%,238,High,1992,55.5,38%,36.8,83%,61%,57,Firepower Balanced
CRBN,TruFoam Genesis 3,$279.99,PBEFFECT,https://a8qh.short.gy/TFG3,2025,USAP/UPA-A,Elongated,Carbon,Raw Texture/Peel Ply,Gen 4,All-Court,14,5.25,4.125,8.3,122,88%,6.30,46%,243,Very High,2030,55.9,54%,36.4,64%,59%,59,Firepower Balanced
CRBN,TruFoam Genesis 4,$279.99,PBEFFECT,https://a8qh.short.gy/TFG4,2025,USAP/UPA-A,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 4,All-Court,14,5.5,4.25,8,109,14%,6.30,46%,232,Very High,2040,55.8,50%,36.2,52%,51%,56,Firepower Balanced
CRBN,TruFoam Waves 1,$279.99,PBEFFECT,https://a8qh.short.gy/TFW1,2025,USAP/UPA-A,Elongated,Carbon,Raw Texture/Peel Ply,Gen 4,All-Court,14,5.6,4.25,7.9,119,78%,5.93,22%,245,High,1995,56.5,78%,36.2,52%,65%,66,Firepower High
CRBN,TruFoam Waves 2,$279.99,PBEFFECT,https://a8qh.short.gy/TFW2,2025,USAP/UPA-A,Widebody,Carbon,Raw Texture/Peel Ply,Gen 4,All-Court,14,5.5,4.25,8.12,112,29%,7.02,87%,235,Very High,2021,56.2,67%,36.6,74%,70%,65,Firepower High
CRBN,TruFoam Waves 3,$279.99,PBEFFECT,https://a8qh.short.gy/TFW3,2025,USAP/UPA-A,Elongated,Carbon,Raw Texture/Peel Ply,Gen 4,All-Court,14,5.3,4.25,8.18,119,78%,6.61,67%,240,High,1988,56.4,74%,36.4,64%,69%,65,Firepower High
CRBN,TruFoam Waves 4,$279.99,PBEFFECT,https://a8qh.short.gy/TFW4,2025,USAP/UPA-A,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 4,All-Court,14,5.5,4.25,8,112,29%,6.68,73%,237,Very High,2056,56,58%,36.5,69%,64%,61,Firepower Balanced
Diadem,BluCore Max 19mm,$280,PBEFFECT,https://a8qh.short.gy/BCM19,2025,USAP,Widebody,Kevlar/Carbon,Raw Texture/Peel Ply,Gen 4,Control,19,5,4.25,8.4,108,10%,7.45,98%,228,Medium,1926,54.9,23%,36.2,52%,38%,45,Firepower Control+
Diadem,BluCore Pro 16mm,$280,PBEFFECT,https://a8qh.short.gy/BCP16,2025,USAP,Elongated,Kevlar/Carbon,Raw Texture/Peel Ply,Gen 4,Control,16,5.5,4.25,8.1,112,29%,5.81,13%,234,High,1936,53.4,8%,35,12%,10%,16,Firepower Soft
Diadem,BluCore Standard 14mm,$280,PBEFFECT,https://a8qh.short.gy/BCS14,2025,USAP,Elongated,Kevlar/Carbon,Raw Texture/Peel Ply,Gen 4,Control,14,5.25,4.25,7.8,107,7%,5.58,6%,232,High,1935,53.4,8%,36,42%,25%,24,Firepower Soft
Diadem,Edge 18k,$229.95,PBEFFECT,https://a8qh.short.gy/18k,2023,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 1,Control,16,5,4.125,7.8,117,63%,6.21,39%,244,,,,,,,,,
Diadem,Edge 18k Power Max,$239.95,PBEFFECT,https://a8qh.short.gy/18PM,2024,USAP,Widebody,Carbon,Raw Texture/Peel Ply,Gen 2,Control,16,5,4.125,8.16,109,14%,7.87,100%,232,,,,,,,,,
Diadem,Edge 18k Speed Pro,$239.95,PBEFFECT,https://a8qh.short.gy/18SP,2024,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,14,5.7,4.125,8.03,124,94%,6.31,48%,249,,,,,,,,,
Diadem,Edge Blucore Hybrid 14,$249.95,PBEFFECT,https://a8qh.short.gy/ebc-h14,2025,USAP,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 4,All-Court,14,5.7,4.125,8,110,18%,6.4,53%,232,Very High,2081,56.1,63%,36.5,69%,66%,62,Firepower Balanced
Diadem,Edge Blucore Hybrid 16,$249.95,PBEFFECT,https://a8qh.short.gy/ebc-h16,2025,USAP,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 4,All-Court,16,5.7,4.125,8.14,115,49%,6.75,77%,236,Very High,2112,56.3,69%,36.1,47%,58%,62,Firepower Balanced
Diadem,Edge Blucore Pro 14,$249.95,PBEFFECT,https://a8qh.short.gy/ebc-p14,2025,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 4,All-Court,14,5.7,4.125,7.9,117,63%,6.1,30%,241,,,,,,,,,
